GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blog-backend,com.example.blogbackend,BlogBackendApplication,5,3,0,0,2,1,1,1,1,1
blog-backend,com.example.blogbackend.service,CommentService,25,99,0,0,6,28,2,5,2,5
blog-backend,com.example.blogbackend.service,DatabaseUserService,35,10,0,0,9,4,2,1,2,1
blog-backend,com.example.blogbackend.service,UserService,94,16,6,0,25,6,6,1,3,1
blog-backend,com.example.blogbackend.service,BlogPostService,19,158,1,3,3,37,2,6,1,5
blog-backend,com.example.blogbackend.service,ImageService,5,236,2,8,1,58,2,12,0,9
blog-backend,com.example.blogbackend.exception,ApiError,0,38,0,0,0,7,0,11,0,11
blog-backend,com.example.blogbackend.exception,ImageNotFoundException,0,4,0,0,0,2,0,1,0,1
blog-backend,com.example.blogbackend.exception,ImageUploadException,0,4,0,0,0,2,0,1,0,1
blog-backend,com.example.blogbackend.exception,GlobalExceptionHandler,12,47,0,0,2,11,2,5,2,5
blog-backend,com.example.blogbackend.exception,BlogPostNotFoundException,0,4,0,0,0,2,0,1,0,1
blog-backend,com.example.blogbackend.exception,CommentNotFoundException,0,4,0,0,0,2,0,1,0,1
blog-backend,com.example.blogbackend.exception,EmptyFileException,0,4,0,0,0,2,0,1,0,1
blog-backend,com.example.blogbackend.controller,ImageController,5,21,0,0,1,6,1,3,1,3
blog-backend,com.example.blogbackend.controller,BlogPostController,0,39,0,0,0,9,0,4,0,4
blog-backend,com.example.blogbackend.controller,AuthController,52,10,8,0,10,4,6,1,2,1
blog-backend,com.example.blogbackend.controller,CommentController,5,19,0,0,1,6,1,3,1,3
blog-backend,com.example.blogbackend.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
blog-backend,com.example.blogbackend.config,SecurityConfig,0,122,0,0,0,29,0,8,0,8
blog-backend,com.example.blogbackend.provider,TimeProvider,0,5,0,0,0,2,0,2,0,2
